"x","y","value"
-123.4375,74.4375,0.0399999991059303
-123.1875,74.4375,0.0412371121346951
-122.8125,74.4375,0.0299999993294477
-121.8125,74.4375,0.0399999991059303
-121.4375,74.1875,0.0202020201832056
85.8125,71.5625,0.961038947105408
86.4375,71.3125,0.975000023841858
85.8125,71.1875,0.952941179275513
27.8125,71.0625,0.951807200908661
25.1875,70.8125,0.961038947105408
26.9375,70.6875,0.965116262435913
29.9375,70.1875,0.952941179275513
20.8125,70.0625,0.958904087543488
23.9375,70.0625,0.960526287555695
26.4375,70.0625,0.959459483623505
27.5625,70.0625,0.959459483623505
-131.6875,69.9375,0.957894742488861
-127.8125,69.9375,0.0319148935377598
95.5625,69.9375,0.975000023841858
88.8125,69.8125,0.95061731338501
-126.8125,69.6875,0.0416666679084301
-126.6875,69.6875,0.0425531901419163
29.3125,69.6875,0.961538434028625
91.6875,69.6875,0.975903630256653
92.0625,69.6875,0.97560977935791
19.6875,69.5625,0.962025344371796
24.8125,69.5625,0.958904087543488
29.1875,69.5625,0.961038947105408
31.1875,69.5625,0.952380955219269
-134.6875,69.4375,0.957894742488861
-129.4375,69.4375,0.0425531901419163
27.5625,69.4375,0.975000023841858
92.9375,69.4375,0.95061731338501
-152.0625,69.3125,0.0399999991059303
25.9375,69.3125,0.961538434028625
94.0625,69.3125,0.961038947105408
95.9375,69.3125,0.959999978542328
-129.5625,69.1875,0.0412371121346951
17.1875,69.1875,0.959999978542328
27.0625,69.1875,0.973684191703796
27.9375,69.1875,0.95061731338501
35.9375,69.1875,0.951219499111176
-129.4375,69.0625,0.0416666679084301
-113.4375,69.0625,0.0430107526481152
23.5625,69.0625,0.951807200908661
26.4375,69.0625,0.960526287555695
31.3125,69.0625,0.98734176158905
33.1875,69.0625,0.952380955219269
33.3125,69.0625,0.961038947105408
79.8125,69.0625,0.962025344371796
92.8125,69.0625,0.961538434028625
34.9375,68.9375,0.974025964736938
127.9375,68.9375,0.958904087543488
-134.5625,68.8125,0.96875
26.5625,68.8125,0.95061731338501
29.9375,68.8125,0.972602725028992
30.1875,68.8125,0.958904087543488
36.4375,68.8125,0.97560977935791
95.5625,68.8125,0.953488349914551
96.3125,68.8125,0.972972989082336
97.6875,68.8125,0.960526287555695
99.0625,68.8125,0.959459483623505
18.5625,68.5625,0.958333313465118
27.8125,68.5625,0.95714282989502
29.9375,68.5625,0.972602725028992
37.5625,68.5625,0.962025344371796
96.1875,68.5625,0.974358975887299
18.1875,68.4375,0.965116262435913
23.8125,68.4375,0.961538434028625
30.5625,68.4375,0.959459483623505
38.1875,68.4375,0.960526287555695
96.5625,68.4375,0.959459483623505
-133.8125,68.3125,0.958333313465118
26.4375,68.1875,0.951807200908661
26.5625,68.1875,0.962025344371796
35.5625,68.1875,0.974683523178101
19.0625,68.0625,0.951219499111176
19.1875,68.0625,0.975000023841858
20.1875,68.0625,0.959459483623505
29.3125,68.0625,0.95061731338501
29.8125,68.0625,0.951219499111176
31.1875,67.9375,0.95061731338501
31.5625,67.9375,0.961038947105408
95.0625,67.9375,0.987012982368469
-134.4375,67.8125,0.959183692932129
22.4375,67.8125,0.951807200908661
28.4375,67.8125,0.958333313465118
28.5625,67.8125,0.962025344371796
38.6875,67.8125,0.962962985038757
-110.6875,67.6875,0.0430107526481152
16.4375,67.6875,0.959183692932129
22.5625,67.6875,0.959999978542328
31.3125,67.6875,0.952380955219269
66.4375,67.6875,0.962025344371796
-134.8125,67.5625,0.95652174949646
16.0625,67.5625,0.973333358764648
37.9375,67.5625,0.961538434028625
16.0625,67.4375,0.958904087543488
19.9375,67.4375,0.965116262435913
-134.5625,67.1875,0.968421041965485
-133.6875,67.1875,0.957446813583374
19.0625,67.1875,0.964285731315613
36.4375,67.1875,0.96341460943222
37.8125,67.1875,0.951219499111176
75.4375,67.1875,0.95061731338501
129.1875,67.1875,0.965116262435913
15.8125,67.0625,0.957446813583374
35.5625,67.0625,0.962499976158142
39.5625,67.0625,0.961038947105408
39.9375,67.0625,0.962962985038757
-129.0625,66.9375,0.95652174949646
16.0625,66.9375,0.962025344371796
18.1875,66.9375,0.959459483623505
74.8125,66.9375,0.961038947105408
-134.6875,66.8125,0.958762884140015
-134.4375,66.8125,0.957894742488861
29.8125,66.8125,0.964285731315613
-134.9375,66.6875,0.978494644165039
-132.8125,66.6875,0.969072163105011
15.4375,66.6875,0.95061731338501
37.1875,66.6875,0.951219499111176
-161.3125,66.5625,0.0399999991059303
-134.6875,66.5625,0.957894742488861
-135.3125,66.4375,0.979381442070007
-132.3125,66.4375,0.967741906642914
43.3125,66.4375,0.039473682641983
-132.6875,66.3125,0.958333313465118
-127.5625,66.3125,0.957894742488861
-122.8125,66.3125,0.965116262435913
-131.4375,66.1875,0.96875
16.5625,66.1875,0.960526287555695
41.3125,66.1875,0.0263157896697521
45.6875,66.1875,0.0481927692890167
-138.9375,66.0625,0.958333313465118
-135.0625,66.0625,0.958762884140015
-133.8125,66.0625,0.959183692932129
-132.5625,66.0625,0.957446813583374
-132.0625,66.0625,0.969696998596191
18.5625,66.0625,0.959999978542328
42.5625,66.0625,0.0481927692890167
-133.8125,65.9375,0.957446813583374
-133.3125,65.9375,0.957894742488861
15.4375,65.9375,0.962499976158142
16.4375,65.9375,0.973333358764648
17.1875,65.9375,0.964285731315613
44.9375,65.9375,0.0389610379934311
97.4375,65.9375,0.958904087543488
-134.6875,65.8125,0.969072163105011
17.8125,65.8125,0.959999978542328
42.5625,65.8125,0.0361445769667625
43.1875,65.8125,0.0375000014901161
46.6875,65.8125,0.0399999991059303
-135.6875,65.6875,0.959183692932129
-135.4375,65.6875,0.959183692932129
18.1875,65.6875,0.973684191703796
39.9375,65.6875,0.0459770113229752
42.9375,65.6875,0.0487804859876633
43.1875,65.6875,0.0410958901047707
46.9375,65.6875,0.0240963846445084
-156.1875,65.5625,0.0399999991059303
42.0625,65.5625,0.0487804859876633
43.5625,65.5625,0.0384615398943424
45.3125,65.5625,0.0410958901047707
16.8125,65.4375,0.952380955219269
17.1875,65.4375,0.974025964736938
39.8125,65.4375,0.0384615398943424
47.3125,65.4375,0.0461538471281528
-127.4375,65.3125,0.958333313465118
16.4375,65.3125,0.953488349914551
17.1875,65.3125,0.965517222881317
44.0625,65.3125,0.0129870129749179
46.9375,65.3125,0
15.4375,65.1875,0.960526287555695
-156.3125,64.9375,0.0399999991059303
-115.4375,64.9375,0.0416666679084301
16.0625,64.9375,0.959459483623505
16.4375,64.9375,0.972972989082336
38.1875,64.9375,0.039473682641983
55.0625,64.9375,0.0379746817052364
59.9375,64.9375,0.962499976158142
-156.5625,64.8125,0.0399999991059303
-155.0625,64.8125,0.0399999991059303
-147.6875,64.8125,0.0299999993294477
-145.5625,64.8125,0.0199999995529652
54.0625,64.8125,0.0487804859876633
-148.1875,64.6875,0.0199999995529652
-147.8125,64.6875,0.030303031206131
-147.6875,64.6875,0.0199999995529652
-122.9375,64.6875,0.955555558204651
-115.0625,64.6875,0.958762884140015
40.6875,64.6875,0.0263157896697521
53.4375,64.6875,0.0370370373129845
-148.3125,64.5625,0.0299999993294477
-148.1875,64.5625,0.0299999993294477
-147.8125,64.5625,0.00999999977648258
-147.6875,64.5625,0.0399999991059303
-144.6875,64.5625,0.0399999991059303
38.3125,64.5625,0.0370370373129845
-155.4375,64.4375,0.0399999991059303
-148.3125,64.4375,0.0299999993294477
-148.1875,64.4375,0.0399999991059303
-147.8125,64.4375,0.0404040403664112
-147.6875,64.4375,0.0299999993294477
39.3125,64.4375,0.0487804859876633
40.5625,64.4375,0.0361445769667625
-156.3125,64.3125,0.0399999991059303
-144.1875,64.3125,0.0199999995529652
-123.9375,64.3125,0.0416666679084301
-122.4375,64.3125,0.978494644165039
-101.4375,64.3125,0.0444444455206394
35.8125,64.3125,0.0487804859876633
39.9375,64.3125,0.0375000014901161
53.9375,64.3125,0.0481927692890167
127.1875,64.3125,0.0365853644907475
35.9375,64.1875,0.0375000014901161
37.8125,64.1875,0.0357142873108387
127.1875,64.1875,0.0454545468091965
35.9375,64.0625,0.0481927692890167
121.3125,64.0625,0.0365853644907475
125.3125,64.0625,0.0370370373129845
-124.6875,63.9375,0.957894742488861
39.9375,63.9375,0.039473682641983
54.0625,63.9375,0.0370370373129845
121.1875,63.9375,0.0375000014901161
121.3125,63.9375,0
121.9375,63.9375,0.025000000372529
122.4375,63.9375,0.0123456791043282
122.5625,63.9375,0.0128205129876733
124.4375,63.9375,0
-157.8125,63.8125,0.030303031206131
-157.3125,63.8125,0.0408163256943226
-156.4375,63.8125,0.0412371121346951
-144.1875,63.8125,0.0399999991059303
-136.3125,63.8125,0.00999999977648258
-136.0625,63.8125,0.0199999995529652
-135.9375,63.8125,0.00999999977648258
-125.0625,63.8125,0.958333313465118
14.8125,63.8125,0.96341460943222
35.5625,63.8125,0
35.8125,63.8125,0.0476190485060215
121.3125,63.8125,0.0128205129876733
122.5625,63.8125,0.0256410259753466
127.5625,63.8125,0.030303031206131
-145.3125,63.6875,0.0299999993294477
-144.6875,63.6875,0.0199999995529652
-140.5625,63.6875,0.0399999991059303
-136.4375,63.6875,0.00999999977648258
-134.5625,63.6875,0
-134.1875,63.6875,0.0199999995529652
-133.5625,63.6875,0
-133.4375,63.6875,0.0399999991059303
-132.5625,63.6875,0.0399999991059303
17.0625,63.6875,0.976470589637756
-145.9375,63.5625,0.0299999993294477
-136.9375,63.5625,0.00999999977648258
-135.1875,63.5625,0.0399999991059303
-133.6875,63.5625,0.0299999993294477
-133.5625,63.5625,0.00999999977648258
-133.3125,63.5625,0.00999999977648258
-116.3125,63.5625,0.979381442070007
17.0625,63.5625,0.973333358764648
35.3125,63.5625,0.0263157896697521
35.8125,63.5625,0.0493827164173126
-158.0625,63.4375,0.0204081628471613
-145.9375,63.4375,0.00999999977648258
-143.9375,63.4375,0.0399999991059303
-143.8125,63.4375,0.0299999993294477
-141.5625,63.4375,0.0299999993294477
-133.6875,63.4375,0.0399999991059303
-133.4375,63.4375,0.0199999995529652
35.3125,63.4375,0.0481927692890167
36.1875,63.4375,0.0352941192686558
126.3125,63.4375,0.0408163256943226
126.4375,63.4375,0.0416666679084301
-141.5625,63.3125,0.0399999991059303
-136.5625,63.3125,0
-136.0625,63.3125,0.0399999991059303
-133.9375,63.3125,0.00999999977648258
-133.6875,63.3125,0.0299999993294477
-133.5625,63.3125,0.00999999977648258
-133.1875,63.3125,0.0399999991059303
-132.9375,63.3125,0.00999999977648258
-132.8125,63.3125,0.00999999977648258
-132.6875,63.3125,0.0399999991059303
-123.8125,63.3125,0.956989228725433
-119.4375,63.3125,0.962499976158142
-119.3125,63.3125,0.989795923233032
17.4375,63.3125,0.965116262435913
35.9375,63.3125,0.0493827164173126
36.1875,63.3125,0.0375000014901161
119.4375,63.3125,0.0131578948348761
120.8125,63.3125,0.0379746817052364
120.9375,63.3125,0.0125000001862645
124.1875,63.3125,0.032967034727335
124.4375,63.3125,0.0256410259753466
125.6875,63.3125,0.0421052649617195
126.0625,63.3125,0.0404040403664112
126.1875,63.3125,0.03125
126.4375,63.3125,0.0408163256943226
-155.3125,63.1875,0.0399999991059303
-155.0625,63.1875,0.0404040403664112
-154.1875,63.1875,0.00999999977648258
-136.5625,63.1875,0.0299999993294477
-134.1875,63.1875,0.0399999991059303
-133.9375,63.1875,0.0199999995529652
-133.8125,63.1875,0.0299999993294477
-133.5625,63.1875,0.00999999977648258
-132.9375,63.1875,0.0199999995529652
-132.8125,63.1875,0.0399999991059303
-132.6875,63.1875,0.00999999977648258
-116.5625,63.1875,0.958762884140015
32.1875,63.1875,0.0493827164173126
32.5625,63.1875,0.0357142873108387
36.5625,63.1875,0.0481927692890167
95.9375,63.1875,0.0375000014901161
96.0625,63.1875,0.0259740259498358
96.1875,63.1875,0.0352941192686558
96.3125,63.1875,0.0246913582086563
96.4375,63.1875,0.0273972600698471
118.3125,63.1875,0.0246913582086563
118.4375,63.1875,0.0126582281664014
123.0625,63.1875,0.0263157896697521
123.1875,63.1875,0.0379746817052364
123.3125,63.1875,0.0253164563328028
123.4375,63.1875,0.0133333336561918
123.5625,63.1875,0.0399999991059303
124.0625,63.1875,0.0389610379934311
124.1875,63.1875,0.0399999991059303
124.4375,63.1875,0.0212765950709581
124.5625,63.1875,0.0105263162404299
124.6875,63.1875,0
124.8125,63.1875,0.0105263162404299
124.9375,63.1875,0.0102040814235806
126.0625,63.1875,0.0425531901419163
-154.1875,63.0625,0.0299999993294477
-133.1875,63.0625,0.0399999991059303
-118.9375,63.0625,0.957894742488861
37.3125,63.0625,0.0434782616794109
94.0625,63.0625,0.0270270276814699
94.6875,63.0625,0
94.9375,63.0625,0.0370370373129845
95.0625,63.0625,0.0224719103425741
95.1875,63.0625,0.0384615398943424
95.4375,63.0625,0.0259740259498358
95.5625,63.0625,0.0365853644907475
95.8125,63.0625,0.0266666673123837
95.9375,63.0625,0.0361445769667625
96.0625,63.0625,0.0243902429938316
96.1875,63.0625,0.0384615398943424
96.3125,63.0625,0.039473682641983
96.4375,63.0625,0.0253164563328028
117.9375,63.0625,0.0365853644907475
119.1875,63.0625,0.025000000372529
119.4375,63.0625,0.0121951214969158
124.4375,63.0625,0.0212765950709581
124.5625,63.0625,0.0102040814235806
124.6875,63.0625,0.0107526881620288
124.8125,63.0625,0.0102040814235806
124.9375,63.0625,0
125.1875,63.0625,0.0103092780336738
126.6875,63.0625,0
127.6875,63.0625,0.0199999995529652
127.8125,63.0625,0.0199999995529652
129.4375,63.0625,0.0202020201832056
130.3125,63.0625,0.0299999993294477
130.6875,63.0625,0.0204081628471613
130.8125,63.0625,0.0206185560673475
-159.0625,62.9375,0.0399999991059303
-158.3125,62.9375,0.0199999995529652
-158.0625,62.9375,0.0404040403664112
-155.4375,62.9375,0.0309278350323439
-148.5625,62.9375,0.00999999977648258
-148.0625,62.9375,0.0399999991059303
-144.4375,62.9375,0.0299999993294477
-136.5625,62.9375,0.0299999993294477
-135.6875,62.9375,0.0399999991059303
-135.3125,62.9375,0.0299999993294477
-135.0625,62.9375,0.0399999991059303
-134.5625,62.9375,0.0299999993294477
-133.8125,62.9375,0.0199999995529652
-133.6875,62.9375,0.0299999993294477
-133.5625,62.9375,0.0299999993294477
-133.4375,62.9375,0.0199999995529652
-133.0625,62.9375,0.0199999995529652
36.5625,62.9375,0.0232558138668537
36.9375,62.9375,0.0123456791043282
94.0625,62.9375,0.0138888889923692
94.6875,62.9375,0.0256410259753466
94.9375,62.9375,0.0259740259498358
95.0625,62.9375,0.0129870129749179
95.1875,62.9375,0
95.5625,62.9375,0.0123456791043282
95.9375,62.9375,0.0481927692890167
96.3125,62.9375,0.025000000372529
119.1875,62.9375,0
124.6875,62.9375,0.0421052649617195
124.8125,62.9375,0.0103092780336738
124.9375,62.9375,0.0103092780336738
125.0625,62.9375,0.0206185560673475
126.3125,62.9375,0.0212765950709581
126.8125,62.9375,0.0306122452020645
127.8125,62.9375,0.0299999993294477
127.9375,62.9375,0.0404040403664112
129.6875,62.9375,0.0204081628471613
130.0625,62.9375,0.0399999991059303
130.6875,62.9375,0.0299999993294477
131.3125,62.9375,0.0493827164173126
-158.3125,62.8125,0.0299999993294477
-155.0625,62.8125,0.0202020201832056
-154.0625,62.8125,0.0199999995529652
-149.4375,62.8125,0.0199999995529652
