LandCover_4_Mixedtrees,x,y
0.0,100.62500805,76.87500615
0.0,88.12500705,75.62500605
0.0,90.20834055,74.79167265
4.0,91.04167395,74.79167265
0.0,96.87500775,74.79167265
0.0,89.79167385,74.37500595
4.0,90.62500725,74.37500595
0.0,93.95834085,74.37500595
0.0,100.20834135,73.95833925
0.0,102.29167485,73.54167255
0.0,-114.37500915,71.87500575
0.0,-154.37501235,71.45833905
0.0,-153.95834565,71.45833905
0.0,-115.62500925,71.45833905
0.0,-116.45834265,70.62500565
0.0,-114.37500915,70.62500565
0.0,-113.95834245,70.62500565
0.0,-140.62501125,70.20833895
0.0,-114.37500915,70.20833895
0.0,-147.70834515,69.79167225
0.0,-115.20834255,69.79167225
0.0,-114.37500915,69.79167225
0.0,-120.20834295,69.37500555
0.0,-113.95834245,69.37500555
0.0,-127.70834355,68.95833885
0.0,-118.12500945,68.95833885
0.0,-117.29167605,68.95833885
0.0,-114.79167585,68.95833885
4.0,-126.45834345,68.54167215
0.0,-139.79167785,68.12500545
0.0,-163.95834645,67.29167205
97.0,-139.37501115,67.29167205
5.0,-140.20834455,66.45833865
48.0,86.04167355,62.70833835
17.0,86.45834025,62.70833835
26.0,-164.79167985,62.29167165
0.0,85.62500685,62.29167165
47.0,84.79167345,61.87500495
27.0,85.20834015,61.87500495
42.0,85.62500685,61.87500495
33.0,86.04167355,61.87500495
9.0,86.45834025,61.87500495
53.0,86.87500695,61.87500495
80.0,84.37500675,61.45833825
53.0,84.79167345,61.45833825
38.0,85.20834015,61.45833825
0.0,85.62500685,61.45833825
33.0,86.04167355,61.45833825
79.0,86.45834025,61.45833825
30.0,86.87500695,61.45833825
26.0,87.29167365,61.45833825
79.0,87.70834035,61.45833825
33.0,83.54167335,61.04167155
58.0,83.95834005,61.04167155
15.0,84.37500675,61.04167155
0.0,84.79167345,61.04167155
49.0,85.20834015,61.04167155
25.0,85.62500685,61.04167155
73.0,86.04167355,61.04167155
39.0,86.45834025,61.04167155
81.0,86.87500695,61.04167155
47.0,87.29167365,61.04167155
33.0,87.70834035,61.04167155
54.0,88.12500705,61.04167155
23.0,-135.20834415,60.62500485
38.0,82.70833995,60.62500485
42.0,83.12500665,60.62500485
0.0,83.54167335,60.62500485
53.0,83.95834005,60.62500485
0.0,84.37500675,60.62500485
26.0,84.79167345,60.62500485
12.0,85.20834015,60.62500485
35.0,85.62500685,60.62500485
54.0,86.04167355,60.62500485
46.0,86.45834025,60.62500485
47.0,86.87500695,60.62500485
33.0,87.29167365,60.62500485
72.0,87.70834035,60.62500485
47.0,88.12500705,60.62500485
54.0,17.29166805,60.20833815
35.0,17.70833475,60.20833815
81.0,81.87500655,60.20833815
0.0,83.12500665,60.20833815
47.0,84.37500675,60.20833815
28.0,85.62500685,60.20833815
75.0,86.87500695,60.20833815
52.0,88.12500705,60.20833815
39.0,33.95833605,59.79167145
8.0,-156.45834585,59.37500475
0.0,-130.20834375,59.37500475
80.0,70.20833895,59.37500475
49.0,70.62500565,59.37500475
29.0,71.45833905,59.37500475
81.0,71.87500575,59.37500475
80.0,78.12500625,59.37500475
23.0,79.37500635,59.37500475
36.0,80.62500645,59.37500475
