BIOCLIM_15,x,y
67.0,-148.54167855,64.79167185
63.0,-148.12501185,64.79167185
53.0,-146.87501175,64.79167185
72.0,-153.12501225,64.37500515
75.0,-153.12501225,63.95833845
54.0,121.45834305,63.95833845
58.0,125.20834335,63.95833845
65.0,127.29167685,63.95833845
72.0,-153.54167895,63.54167175
47.0,-137.29167765,63.54167175
47.0,-134.79167745,63.54167175
46.0,-134.37501075,63.54167175
41.0,-133.95834405,63.54167175
44.0,-133.54167735,63.54167175
51.0,119.37500955,63.54167175
53.0,119.79167625,63.54167175
60.0,-137.29167765,63.12500505
45.0,-133.95834405,63.12500505
44.0,-132.70834395,63.12500505
37.0,93.95834085,63.12500505
37.0,94.37500755,63.12500505
39.0,95.62500765,63.12500505
39.0,96.04167435,63.12500505
54.0,117.70834275,63.12500505
53.0,118.12500945,63.12500505
54.0,119.37500955,63.12500505
54.0,119.79167625,63.12500505
54.0,120.62500965,63.12500505
71.0,130.62501045,63.12500505
45.0,-150.20834535,62.70833835
58.0,-148.12501185,62.70833835
75.0,-138.54167775,62.70833835
31.0,86.04167355,62.70833835
31.0,86.45834025,62.70833835
38.0,95.62500765,62.70833835
40.0,96.04167435,62.70833835
53.0,118.12500945,62.70833835
54.0,118.54167615,62.70833835
53.0,119.37500955,62.70833835
54.0,121.87500975,62.70833835
62.0,129.37501035,62.70833835
67.0,130.62501045,62.70833835
46.0,-150.20834535,62.29167165
56.0,-134.79167745,62.29167165
44.0,-133.54167735,62.29167165
40.0,-115.20834255,62.29167165
-9999.0,17.70833475,62.29167165
32.0,85.62500685,62.29167165
35.0,93.12500745,62.29167165
36.0,93.54167415,62.29167165
36.0,93.95834085,62.29167165
36.0,94.37500755,62.29167165
38.0,96.04167435,62.29167165
40.0,96.87500775,62.29167165
51.0,113.95834245,62.29167165
52.0,114.37500915,62.29167165
53.0,114.79167585,62.29167165
53.0,117.70834275,62.29167165
54.0,118.12500945,62.29167165
53.0,118.54167615,62.29167165
55.0,119.79167625,62.29167165
60.0,126.04167675,62.29167165
61.0,126.45834345,62.29167165
62.0,126.87501015,62.29167165
62.0,128.54167695,62.29167165
59.0,129.37501035,62.29167165
61.0,129.79167705,62.29167165
62.0,130.62501045,62.29167165
64.0,131.04167715,62.29167165
44.0,-151.04167875,61.87500495
61.0,-135.62501085,61.87500495
56.0,-135.20834415,61.87500495
48.0,-134.37501075,61.87500495
49.0,-133.95834405,61.87500495
43.0,-112.70834235,61.87500495
34.0,84.79167345,61.87500495
35.0,93.12500745,61.87500495
35.0,93.54167415,61.87500495
36.0,93.95834085,61.87500495
36.0,94.37500755,61.87500495
39.0,96.04167435,61.87500495
40.0,96.87500775,61.87500495
49.0,113.12500905,61.87500495
51.0,113.54167575,61.87500495
51.0,113.95834245,61.87500495
55.0,117.70834275,61.87500495
55.0,119.79167625,61.87500495
53.0,120.62500965,61.87500495
54.0,121.87500975,61.87500495
62.0,125.62501005,61.87500495
62.0,126.87501015,61.87500495
58.0,129.37501035,61.87500495
41.0,-151.45834545,61.45833825
45.0,-151.04167875,61.45833825
48.0,-150.62501205,61.45833825
53.0,-150.20834535,61.45833825
48.0,-134.37501075,61.45833825
50.0,-133.12501065,61.45833825
32.0,87.29167365,61.45833825
38.0,95.62500765,61.45833825
38.0,96.04167435,61.45833825
48.0,113.54167575,61.45833825
49.0,113.95834245,61.45833825
54.0,121.04167635,61.45833825
62.0,126.04167675,61.45833825
63.0,126.45834345,61.45833825
60.0,130.20834375,61.45833825
40.0,-151.87501215,61.04167155
43.0,-151.45834545,61.04167155
-9999.0,-151.04167875,61.04167155
37.0,-136.45834425,61.04167155
48.0,-135.62501085,61.04167155
52.0,-134.79167745,61.04167155
49.0,-134.37501075,61.04167155
36.0,83.95834005,61.04167155
35.0,84.37500675,61.04167155
35.0,84.79167345,61.04167155
32.0,86.87500695,61.04167155
34.0,91.45834065,61.04167155
34.0,91.87500735,61.04167155
35.0,93.54167415,61.04167155
36.0,93.95834085,61.04167155
35.0,94.37500755,61.04167155
49.0,113.54167575,61.04167155
49.0,113.95834245,61.04167155
56.0,116.45834265,61.04167155
57.0,116.87500935,61.04167155
57.0,117.29167605,61.04167155
57.0,118.12500945,61.04167155
58.0,118.54167615,61.04167155
57.0,118.95834285,61.04167155
55.0,119.37500955,61.04167155
56.0,119.79167625,61.04167155
55.0,120.20834295,61.04167155
53.0,120.62500965,61.04167155
-9999.0,-166.87501335,60.62500485
-9999.0,-151.87501215,60.62500485
-9999.0,-151.45834545,60.62500485
44.0,-133.95834405,60.62500485
43.0,-133.12501065,60.62500485
25.0,-130.62501045,60.62500485
38.0,83.12500665,60.62500485
37.0,83.95834005,60.62500485
36.0,84.37500675,60.62500485
34.0,91.04167395,60.62500485
34.0,91.87500735,60.62500485
34.0,93.12500745,60.62500485
35.0,93.95834085,60.62500485
46.0,113.54167575,60.62500485
49.0,113.95834245,60.62500485
56.0,116.04167595,60.62500485
60.0,118.54167615,60.62500485
58.0,119.37500955,60.62500485
56.0,120.20834295,60.62500485
31.0,170.62501365,60.62500485
33.0,-132.70834395,60.20833815
40.0,-118.54167615,60.20833815
39.0,-118.12500945,60.20833815
38.0,-117.70834275,60.20833815
38.0,-116.87500935,60.20833815
39.0,-116.04167595,60.20833815
39.0,-114.37500915,60.20833815
41.0,81.87500655,60.20833815
34.0,91.04167395,60.20833815
34.0,91.45834065,60.20833815
34.0,91.87500735,60.20833815
37.0,95.62500765,60.20833815
38.0,96.04167435,60.20833815
44.0,111.87500895,60.20833815
44.0,112.29167565,60.20833815
54.0,121.04167635,60.20833815
60.0,130.20834375,60.20833815
60.0,130.62501045,60.20833815
32.0,-127.70834355,59.79167145
47.0,-125.20834335,59.79167145
41.0,-118.12500945,59.79167145
40.0,-117.70834275,59.79167145
39.0,-115.20834255,59.79167145
44.0,-111.87500895,59.79167145
35.0,91.04167395,59.79167145
34.0,91.45834065,59.79167145
35.0,91.87500735,59.79167145
34.0,92.29167405,59.79167145
35.0,92.70834075,59.79167145
35.0,93.12500745,59.79167145
35.0,93.54167415,59.79167145
35.0,93.95834085,59.79167145
36.0,94.37500755,59.79167145
36.0,94.79167425,59.79167145
36.0,95.20834095,59.79167145
37.0,95.62500765,59.79167145
45.0,101.04167475,59.79167145
44.0,111.45834225,59.79167145
42.0,112.29167565,59.79167145
44.0,112.70834235,59.79167145
45.0,113.12500905,59.79167145
58.0,115.20834255,59.79167145
66.0,118.95834285,59.79167145
61.0,130.20834375,59.79167145
50.0,-161.04167955,59.37500475
26.0,-131.45834385,59.37500475
47.0,-119.79167625,59.37500475
43.0,-117.70834275,59.37500475
43.0,-116.45834265,59.37500475
41.0,-115.62500925,59.37500475
41.0,-115.20834255,59.37500475
41.0,-114.79167585,59.37500475
42.0,-114.37500915,59.37500475
43.0,-113.95834245,59.37500475
45.0,70.20833895,59.37500475
45.0,70.62500565,59.37500475
45.0,71.87500575,59.37500475
47.0,78.12500625,59.37500475
45.0,79.37500635,59.37500475
43.0,81.87500655,59.37500475
41.0,83.12500665,59.37500475
36.0,85.62500685,59.37500475
36.0,90.62500725,59.37500475
35.0,91.04167395,59.37500475
35.0,91.87500735,59.37500475
35.0,92.29167405,59.37500475
34.0,92.70834075,59.37500475
35.0,93.12500745,59.37500475
35.0,93.54167415,59.37500475
36.0,93.95834085,59.37500475
36.0,94.37500755,59.37500475
36.0,94.79167425,59.37500475
37.0,95.20834095,59.37500475
37.0,95.62500765,59.37500475
38.0,96.04167435,59.37500475
48.0,99.79167465,59.37500475
49.0,100.20834135,59.37500475
45.0,101.87500815,59.37500475
46.0,111.04167555,59.37500475
47.0,113.12500905,59.37500475
54.0,113.54167575,59.37500475
68.0,117.29167605,59.37500475
70.0,117.70834275,59.37500475
69.0,118.12500945,59.37500475
67.0,119.37500955,59.37500475
62.0,132.29167725,59.37500475
40.0,-136.45834425,58.95833805
45.0,-116.87500935,58.95833805
44.0,-116.45834265,58.95833805
44.0,-115.20834255,58.95833805
45.0,-113.95834245,58.95833805
45.0,78.12500625,58.95833805
46.0,79.37500635,58.95833805
44.0,81.87500655,58.95833805
36.0,85.62500685,58.95833805
37.0,89.79167385,58.95833805
37.0,90.62500725,58.95833805
37.0,91.04167395,58.95833805
36.0,91.87500735,58.95833805
36.0,93.12500745,58.95833805
37.0,93.95834085,58.95833805
37.0,95.20834095,58.95833805
46.0,111.87500895,58.95833805
46.0,112.70834235,58.95833805
67.0,115.20834255,58.95833805
29.0,-131.04167715,58.54167135
52.0,-123.12500985,58.54167135
48.0,-119.37500955,58.54167135
46.0,-116.04167595,58.54167135
46.0,-114.79167585,58.54167135
46.0,79.37500635,58.54167135
46.0,80.20833975,58.54167135
45.0,81.04167315,58.54167135
45.0,82.29167325,58.54167135
43.0,82.70833995,58.54167135
36.0,85.62500685,58.54167135
37.0,87.29167365,58.54167135
39.0,88.95834045,58.54167135
39.0,89.37500715,58.54167135
39.0,89.79167385,58.54167135
39.0,90.62500725,58.54167135
38.0,91.04167395,58.54167135
37.0,91.45834065,58.54167135
36.0,92.29167405,58.54167135
37.0,92.70834075,58.54167135
37.0,93.12500745,58.54167135
38.0,94.37500755,58.54167135
47.0,98.12500785,58.54167135
49.0,101.87500815,58.54167135
46.0,102.29167485,58.54167135
49.0,111.87500895,58.54167135
51.0,112.29167565,58.54167135
72.0,116.04167595,58.54167135
73.0,116.45834265,58.54167135
46.0,-124.37500995,58.12500465
51.0,-122.29167645,58.12500465
50.0,-120.20834295,58.12500465
30.0,53.54167095,58.12500465
47.0,72.29167245,58.12500465
48.0,73.95833925,58.12500465
36.0,85.62500685,58.12500465
38.0,87.29167365,58.12500465
40.0,88.54167375,58.12500465
41.0,88.95834045,58.12500465
41.0,89.37500715,58.12500465
42.0,89.79167385,58.12500465
41.0,90.20834055,58.12500465
41.0,90.62500725,58.12500465
40.0,91.04167395,58.12500465
40.0,91.45834065,58.12500465
39.0,91.87500735,58.12500465
38.0,92.29167405,58.12500465
38.0,92.70834075,58.12500465
45.0,102.70834155,58.12500465
45.0,104.37500835,58.12500465
47.0,104.79167505,58.12500465
53.0,108.95834205,58.12500465
57.0,112.29167565,58.12500465
81.0,117.29167605,58.12500465
48.0,-116.87500935,57.70833795
38.0,84.37500675,57.70833795
37.0,84.79167345,57.70833795
36.0,85.62500685,57.70833795
41.0,88.12500705,57.70833795
42.0,88.95834045,57.70833795
44.0,89.79167385,57.70833795
44.0,90.62500725,57.70833795
43.0,91.04167395,57.70833795
42.0,91.45834065,57.70833795
42.0,91.87500735,57.70833795
40.0,92.29167405,57.70833795
40.0,92.70834075,57.70833795
40.0,93.54167415,57.70833795
39.0,96.87500775,57.70833795
38.0,97.29167445,57.70833795
49.0,102.70834155,57.70833795
49.0,105.20834175,57.70833795
74.0,115.20834255,57.70833795
-9999.0,-158.54167935,57.29167125
44.0,-123.12500985,57.29167125
45.0,-122.70834315,57.29167125
50.0,-119.79167625,57.29167125
50.0,-119.37500955,57.29167125
49.0,-118.95834285,57.29167125
49.0,-116.87500935,57.29167125
30.0,52.70833755,57.29167125
30.0,53.95833765,57.29167125
44.0,91.87500735,57.29167125
44.0,92.29167405,57.29167125
44.0,92.70834075,57.29167125
44.0,96.45834105,57.29167125
43.0,97.29167445,57.29167125
48.0,102.70834155,57.29167125
45.0,103.95834165,57.29167125
48.0,104.79167505,57.29167125
54.0,106.04167515,57.29167125
58.0,109.37500875,57.29167125
84.0,116.04167595,57.29167125
32.0,-126.87501015,56.87500455
49.0,-120.20834295,56.87500455
50.0,-116.87500935,56.87500455
35.0,48.12500385,56.87500455
33.0,49.37500395,56.87500455
31.0,51.45833745,56.87500455
30.0,51.87500415,56.87500455
30.0,53.12500425,56.87500455
29.0,54.37500435,56.87500455
30.0,55.62500445,56.87500455
35.0,56.87500455,56.87500455
40.0,58.12500465,56.87500455
43.0,59.37500475,56.87500455
46.0,93.12500745,56.87500455
47.0,93.54167415,56.87500455
48.0,94.79167425,56.87500455
50.0,95.20834095,56.87500455
49.0,97.29167445,56.87500455
45.0,103.95834165,56.87500455
48.0,104.37500835,56.87500455
33.0,-126.04167675,56.45833785
33.0,-125.62501005,56.45833785
33.0,-123.54167655,56.45833785
48.0,-121.45834305,56.45833785
46.0,-120.62500965,56.45833785
48.0,-120.20834295,56.45833785
50.0,-119.79167625,56.45833785
50.0,-117.29167605,56.45833785
50.0,-116.87500935,56.45833785
59.0,96.04167435,56.45833785
