ISRICSOILGRIDS_new_average_phx10percent_reduced,x,y
56.0,-148.54167855,64.79167185
57.0,-148.12501185,64.79167185
55.0,-146.87501175,64.79167185
53.0,-153.12501225,64.37500515
52.0,-153.12501225,63.95833845
61.0,121.45834305,63.95833845
58.0,125.20834335,63.95833845
-9999.0,127.29167685,63.95833845
57.0,-153.54167895,63.54167175
62.0,-137.29167765,63.54167175
49.0,-134.79167745,63.54167175
51.0,-134.37501075,63.54167175
60.0,-133.95834405,63.54167175
55.0,-133.54167735,63.54167175
59.0,119.37500955,63.54167175
59.0,119.79167625,63.54167175
50.0,-137.29167765,63.12500505
57.0,-133.95834405,63.12500505
53.0,-132.70834395,63.12500505
50.0,93.95834085,63.12500505
50.0,94.37500755,63.12500505
51.0,95.62500765,63.12500505
51.0,96.04167435,63.12500505
60.0,117.70834275,63.12500505
60.0,118.12500945,63.12500505
59.0,119.37500955,63.12500505
55.0,119.79167625,63.12500505
57.0,120.62500965,63.12500505
61.0,130.62501045,63.12500505
53.0,-150.20834535,62.70833835
54.0,-148.12501185,62.70833835
51.0,-138.54167775,62.70833835
48.0,86.04167355,62.70833835
47.0,86.45834025,62.70833835
49.0,95.62500765,62.70833835
51.0,96.04167435,62.70833835
61.0,118.12500945,62.70833835
59.0,118.54167615,62.70833835
56.0,119.37500955,62.70833835
57.0,121.87500975,62.70833835
63.0,129.37501035,62.70833835
63.0,130.62501045,62.70833835
50.0,-150.20834535,62.29167165
55.0,-134.79167745,62.29167165
60.0,-133.54167735,62.29167165
-9999.0,-115.20834255,62.29167165
-9999.0,17.70833475,62.29167165
49.0,85.62500685,62.29167165
48.0,93.12500745,62.29167165
50.0,93.54167415,62.29167165
50.0,93.95834085,62.29167165
50.0,94.37500755,62.29167165
50.0,96.04167435,62.29167165
51.0,96.87500775,62.29167165
58.0,113.95834245,62.29167165
56.0,114.37500915,62.29167165
55.0,114.79167585,62.29167165
60.0,117.70834275,62.29167165
60.0,118.12500945,62.29167165
60.0,118.54167615,62.29167165
54.0,119.79167625,62.29167165
58.0,126.04167675,62.29167165
60.0,126.45834345,62.29167165
59.0,126.87501015,62.29167165
62.0,128.54167695,62.29167165
63.0,129.37501035,62.29167165
62.0,129.79167705,62.29167165
62.0,130.62501045,62.29167165
62.0,131.04167715,62.29167165
49.0,-151.04167875,61.87500495
60.0,-135.62501085,61.87500495
58.0,-135.20834415,61.87500495
60.0,-134.37501075,61.87500495
54.0,-133.95834405,61.87500495
55.0,-112.70834235,61.87500495
49.0,84.79167345,61.87500495
48.0,93.12500745,61.87500495
50.0,93.54167415,61.87500495
50.0,93.95834085,61.87500495
49.0,94.37500755,61.87500495
53.0,96.04167435,61.87500495
50.0,96.87500775,61.87500495
58.0,113.12500905,61.87500495
56.0,113.54167575,61.87500495
55.0,113.95834245,61.87500495
61.0,117.70834275,61.87500495
59.0,119.79167625,61.87500495
58.0,120.62500965,61.87500495
56.0,121.87500975,61.87500495
58.0,125.62501005,61.87500495
60.0,126.87501015,61.87500495
60.0,129.37501035,61.87500495
50.0,-151.45834545,61.45833825
50.0,-151.04167875,61.45833825
52.0,-150.62501205,61.45833825
51.0,-150.20834535,61.45833825
66.0,-134.37501075,61.45833825
57.0,-133.12501065,61.45833825
48.0,87.29167365,61.45833825
50.0,95.62500765,61.45833825
54.0,96.04167435,61.45833825
56.0,113.54167575,61.45833825
56.0,113.95834245,61.45833825
59.0,121.04167635,61.45833825
60.0,126.04167675,61.45833825
59.0,126.45834345,61.45833825
62.0,130.20834375,61.45833825
52.0,-151.87501215,61.04167155
50.0,-151.45834545,61.04167155
-9999.0,-151.04167875,61.04167155
69.0,-136.45834425,61.04167155
57.0,-135.62501085,61.04167155
58.0,-134.79167745,61.04167155
65.0,-134.37501075,61.04167155
50.0,83.95834005,61.04167155
49.0,84.37500675,61.04167155
45.0,84.79167345,61.04167155
50.0,86.87500695,61.04167155
47.0,91.45834065,61.04167155
47.0,91.87500735,61.04167155
50.0,93.54167415,61.04167155
52.0,93.95834085,61.04167155
49.0,94.37500755,61.04167155
54.0,113.54167575,61.04167155
56.0,113.95834245,61.04167155
58.0,116.45834265,61.04167155
61.0,116.87500935,61.04167155
57.0,117.29167605,61.04167155
59.0,118.12500945,61.04167155
60.0,118.54167615,61.04167155
60.0,118.95834285,61.04167155
59.0,119.37500955,61.04167155
58.0,119.79167625,61.04167155
58.0,120.20834295,61.04167155
61.0,120.62500965,61.04167155
-9999.0,-166.87501335,60.62500485
-9999.0,-151.87501215,60.62500485
-9999.0,-151.45834545,60.62500485
62.0,-133.95834405,60.62500485
58.0,-133.12501065,60.62500485
54.0,-130.62501045,60.62500485
49.0,83.12500665,60.62500485
50.0,83.95834005,60.62500485
50.0,84.37500675,60.62500485
47.0,91.04167395,60.62500485
50.0,91.87500735,60.62500485
48.0,93.12500745,60.62500485
50.0,93.95834085,60.62500485
57.0,113.54167575,60.62500485
58.0,113.95834245,60.62500485
58.0,116.04167595,60.62500485
57.0,118.54167615,60.62500485
60.0,119.37500955,60.62500485
61.0,120.20834295,60.62500485
49.0,170.62501365,60.62500485
60.0,-132.70834395,60.20833815
58.0,-118.54167615,60.20833815
58.0,-118.12500945,60.20833815
58.0,-117.70834275,60.20833815
62.0,-116.87500935,60.20833815
56.0,-116.04167595,60.20833815
61.0,-114.37500915,60.20833815
50.0,81.87500655,60.20833815
49.0,91.04167395,60.20833815
47.0,91.45834065,60.20833815
47.0,91.87500735,60.20833815
50.0,95.62500765,60.20833815
52.0,96.04167435,60.20833815
54.0,111.87500895,60.20833815
57.0,112.29167565,60.20833815
62.0,121.04167635,60.20833815
61.0,130.20834375,60.20833815
61.0,130.62501045,60.20833815
58.0,-127.70834355,59.79167145
54.0,-125.20834335,59.79167145
57.0,-118.12500945,59.79167145
56.0,-117.70834275,59.79167145
59.0,-115.20834255,59.79167145
62.0,-111.87500895,59.79167145
46.0,91.04167395,59.79167145
49.0,91.45834065,59.79167145
48.0,91.87500735,59.79167145
48.0,92.29167405,59.79167145
49.0,92.70834075,59.79167145
49.0,93.12500745,59.79167145
49.0,93.54167415,59.79167145
49.0,93.95834085,59.79167145
49.0,94.37500755,59.79167145
49.0,94.79167425,59.79167145
53.0,95.20834095,59.79167145
53.0,95.62500765,59.79167145
57.0,101.04167475,59.79167145
58.0,111.45834225,59.79167145
55.0,112.29167565,59.79167145
54.0,112.70834235,59.79167145
54.0,113.12500905,59.79167145
56.0,115.20834255,59.79167145
59.0,118.95834285,59.79167145
57.0,130.20834375,59.79167145
51.0,-161.04167955,59.37500475
53.0,-131.45834385,59.37500475
59.0,-119.79167625,59.37500475
60.0,-117.70834275,59.37500475
56.0,-116.45834265,59.37500475
55.0,-115.62500925,59.37500475
53.0,-115.20834255,59.37500475
53.0,-114.79167585,59.37500475
52.0,-114.37500915,59.37500475
58.0,-113.95834245,59.37500475
52.0,70.20833895,59.37500475
51.0,70.62500565,59.37500475
52.0,71.87500575,59.37500475
52.0,78.12500625,59.37500475
47.0,79.37500635,59.37500475
49.0,81.87500655,59.37500475
50.0,83.12500665,59.37500475
50.0,85.62500685,59.37500475
51.0,90.62500725,59.37500475
50.0,91.04167395,59.37500475
50.0,91.87500735,59.37500475
48.0,92.29167405,59.37500475
50.0,92.70834075,59.37500475
50.0,93.12500745,59.37500475
49.0,93.54167415,59.37500475
50.0,93.95834085,59.37500475
51.0,94.37500755,59.37500475
51.0,94.79167425,59.37500475
51.0,95.20834095,59.37500475
58.0,95.62500765,59.37500475
54.0,96.04167435,59.37500475
59.0,99.79167465,59.37500475
58.0,100.20834135,59.37500475
59.0,101.87500815,59.37500475
57.0,111.04167555,59.37500475
51.0,113.12500905,59.37500475
50.0,113.54167575,59.37500475
53.0,117.29167605,59.37500475
56.0,117.70834275,59.37500475
59.0,118.12500945,59.37500475
60.0,119.37500955,59.37500475
60.0,132.29167725,59.37500475
55.0,-136.45834425,58.95833805
60.0,-116.87500935,58.95833805
58.0,-116.45834265,58.95833805
56.0,-115.20834255,58.95833805
58.0,-113.95834245,58.95833805
52.0,78.12500625,58.95833805
52.0,79.37500635,58.95833805
52.0,81.87500655,58.95833805
50.0,85.62500685,58.95833805
49.0,89.79167385,58.95833805
50.0,90.62500725,58.95833805
51.0,91.04167395,58.95833805
51.0,91.87500735,58.95833805
50.0,93.12500745,58.95833805
50.0,93.95834085,58.95833805
55.0,95.20834095,58.95833805
51.0,111.87500895,58.95833805
54.0,112.70834235,58.95833805
52.0,115.20834255,58.95833805
54.0,-131.04167715,58.54167135
58.0,-123.12500985,58.54167135
57.0,-119.37500955,58.54167135
62.0,-116.04167595,58.54167135
61.0,-114.79167585,58.54167135
52.0,79.37500635,58.54167135
53.0,80.20833975,58.54167135
55.0,81.04167315,58.54167135
59.0,82.29167325,58.54167135
52.0,82.70833995,58.54167135
54.0,85.62500685,58.54167135
51.0,87.29167365,58.54167135
52.0,88.95834045,58.54167135
53.0,89.37500715,58.54167135
54.0,89.79167385,58.54167135
54.0,90.62500725,58.54167135
53.0,91.04167395,58.54167135
53.0,91.45834065,58.54167135
55.0,92.29167405,58.54167135
54.0,92.70834075,58.54167135
53.0,93.12500745,58.54167135
54.0,94.37500755,58.54167135
60.0,98.12500785,58.54167135
58.0,101.87500815,58.54167135
58.0,102.29167485,58.54167135
52.0,111.87500895,58.54167135
52.0,112.29167565,58.54167135
54.0,116.04167595,58.54167135
53.0,116.45834265,58.54167135
57.0,-124.37500995,58.12500465
59.0,-122.29167645,58.12500465
59.0,-120.20834295,58.12500465
54.0,53.54167095,58.12500465
52.0,72.29167245,58.12500465
54.0,73.95833925,58.12500465
52.0,85.62500685,58.12500465
52.0,87.29167365,58.12500465
54.0,88.54167375,58.12500465
54.0,88.95834045,58.12500465
56.0,89.37500715,58.12500465
55.0,89.79167385,58.12500465
55.0,90.20834055,58.12500465
55.0,90.62500725,58.12500465
54.0,91.04167395,58.12500465
54.0,91.45834065,58.12500465
55.0,91.87500735,58.12500465
54.0,92.29167405,58.12500465
57.0,92.70834075,58.12500465
59.0,102.70834155,58.12500465
60.0,104.37500835,58.12500465
59.0,104.79167505,58.12500465
58.0,108.95834205,58.12500465
49.0,112.29167565,58.12500465
51.0,117.29167605,58.12500465
60.0,-116.87500935,57.70833795
53.0,84.37500675,57.70833795
51.0,84.79167345,57.70833795
54.0,85.62500685,57.70833795
54.0,88.12500705,57.70833795
54.0,88.95834045,57.70833795
55.0,89.79167385,57.70833795
54.0,90.62500725,57.70833795
55.0,91.04167395,57.70833795
55.0,91.45834065,57.70833795
55.0,91.87500735,57.70833795
58.0,92.29167405,57.70833795
55.0,92.70834075,57.70833795
57.0,93.54167415,57.70833795
55.0,96.87500775,57.70833795
54.0,97.29167445,57.70833795
57.0,102.70834155,57.70833795
59.0,105.20834175,57.70833795
56.0,115.20834255,57.70833795
-9999.0,-158.54167935,57.29167125
53.0,-123.12500985,57.29167125
56.0,-122.70834315,57.29167125
58.0,-119.79167625,57.29167125
58.0,-119.37500955,57.29167125
59.0,-118.95834285,57.29167125
61.0,-116.87500935,57.29167125
54.0,52.70833755,57.29167125
59.0,53.95833765,57.29167125
54.0,91.87500735,57.29167125
54.0,92.29167405,57.29167125
54.0,92.70834075,57.29167125
59.0,96.45834105,57.29167125
57.0,97.29167445,57.29167125
60.0,102.70834155,57.29167125
60.0,103.95834165,57.29167125
58.0,104.79167505,57.29167125
57.0,106.04167515,57.29167125
50.0,109.37500875,57.29167125
52.0,116.04167595,57.29167125
56.0,-126.87501015,56.87500455
60.0,-120.20834295,56.87500455
59.0,-116.87500935,56.87500455
62.0,48.12500385,56.87500455
62.0,49.37500395,56.87500455
61.0,51.45833745,56.87500455
54.0,51.87500415,56.87500455
-9999.0,53.12500425,56.87500455
55.0,54.37500435,56.87500455
