GTOPO30_ASPECT_reduced,x,y
-9999.0,100.62500805,76.87500615
-9999.0,88.12500705,75.62500605
6.0,90.20834055,74.79167265
211.0,91.04167395,74.79167265
1.0,96.87500775,74.79167265
30.0,89.79167385,74.37500595
183.0,90.62500725,74.37500595
202.0,93.95834085,74.37500595
259.0,100.20834135,73.95833925
346.0,102.29167485,73.54167255
278.0,-114.37500915,71.87500575
-9999.0,-154.37501235,71.45833905
-9999.0,-153.95834565,71.45833905
27.0,-115.62500925,71.45833905
-9999.0,-116.45834265,70.62500565
-9999.0,-114.37500915,70.62500565
-9999.0,-113.95834245,70.62500565
-9999.0,-140.62501125,70.20833895
334.0,-114.37500915,70.20833895
21.0,-147.70834515,69.79167225
357.0,-115.20834255,69.79167225
350.0,-114.37500915,69.79167225
11.0,-120.20834295,69.37500555
359.0,-113.95834245,69.37500555
178.0,-127.70834355,68.95833885
355.0,-118.12500945,68.95833885
-9999.0,-117.29167605,68.95833885
-9999.0,-114.79167585,68.95833885
38.0,-126.45834345,68.54167215
-9999.0,-139.79167785,68.12500545
-9999.0,-163.95834645,67.29167205
72.0,-139.37501115,67.29167205
350.0,-140.20834455,66.45833865
288.0,86.04167355,62.70833835
172.0,86.45834025,62.70833835
-9999.0,-164.79167985,62.29167165
333.0,85.62500685,62.29167165
25.0,84.79167345,61.87500495
27.0,85.20834015,61.87500495
164.0,85.62500685,61.87500495
135.0,86.04167355,61.87500495
273.0,86.45834025,61.87500495
70.0,86.87500695,61.87500495
0.0,84.37500675,61.45833825
197.0,84.79167345,61.45833825
152.0,85.20834015,61.45833825
250.0,85.62500685,61.45833825
359.0,86.04167355,61.45833825
45.0,86.45834025,61.45833825
115.0,86.87500695,61.45833825
141.0,87.29167365,61.45833825
195.0,87.70834035,61.45833825
10.0,83.54167335,61.04167155
12.0,83.95834005,61.04167155
297.0,84.37500675,61.04167155
203.0,84.79167345,61.04167155
247.0,85.20834015,61.04167155
196.0,85.62500685,61.04167155
211.0,86.04167355,61.04167155
246.0,86.45834025,61.04167155
27.0,86.87500695,61.04167155
149.0,87.29167365,61.04167155
121.0,87.70834035,61.04167155
167.0,88.12500705,61.04167155
253.0,-135.20834415,60.62500485
178.0,82.70833995,60.62500485
42.0,83.12500665,60.62500485
10.0,83.54167335,60.62500485
235.0,83.95834005,60.62500485
234.0,84.37500675,60.62500485
21.0,84.79167345,60.62500485
180.0,85.20834015,60.62500485
152.0,85.62500685,60.62500485
348.0,86.04167355,60.62500485
124.0,86.45834025,60.62500485
17.0,86.87500695,60.62500485
218.0,87.29167365,60.62500485
225.0,87.70834035,60.62500485
156.0,88.12500705,60.62500485
207.0,17.29166805,60.20833815
