ISRICSOILGRIDS_new_average_bulkdensity_reduced,x,y
1001.0,-148.54167855,64.79167185
948.0,-148.12501185,64.79167185
945.0,-146.87501175,64.79167185
1024.0,-153.12501225,64.37500515
915.0,-153.12501225,63.95833845
1150.0,121.45834305,63.95833845
1276.0,125.20834335,63.95833845
-9999.0,127.29167685,63.95833845
953.0,-153.54167895,63.54167175
1004.0,-137.29167765,63.54167175
937.0,-134.79167745,63.54167175
906.0,-134.37501075,63.54167175
979.0,-133.95834405,63.54167175
922.0,-133.54167735,63.54167175
1087.0,119.37500955,63.54167175
1167.0,119.79167625,63.54167175
948.0,-137.29167765,63.12500505
927.0,-133.95834405,63.12500505
923.0,-132.70834395,63.12500505
1135.0,93.95834085,63.12500505
1118.0,94.37500755,63.12500505
1151.0,95.62500765,63.12500505
1173.0,96.04167435,63.12500505
1156.0,117.70834275,63.12500505
1139.0,118.12500945,63.12500505
1217.0,119.37500955,63.12500505
1173.0,119.79167625,63.12500505
1163.0,120.62500965,63.12500505
1260.0,130.62501045,63.12500505
867.0,-150.20834535,62.70833835
1050.0,-148.12501185,62.70833835
906.0,-138.54167775,62.70833835
1125.0,86.04167355,62.70833835
1031.0,86.45834025,62.70833835
1044.0,95.62500765,62.70833835
1093.0,96.04167435,62.70833835
1160.0,118.12500945,62.70833835
1168.0,118.54167615,62.70833835
1192.0,119.37500955,62.70833835
1153.0,121.87500975,62.70833835
1242.0,129.37501035,62.70833835
1242.0,130.62501045,62.70833835
890.0,-150.20834535,62.29167165
1006.0,-134.79167745,62.29167165
975.0,-133.54167735,62.29167165
-9999.0,-115.20834255,62.29167165
-9999.0,17.70833475,62.29167165
1112.0,85.62500685,62.29167165
1024.0,93.12500745,62.29167165
1095.0,93.54167415,62.29167165
1027.0,93.95834085,62.29167165
1075.0,94.37500755,62.29167165
1138.0,96.04167435,62.29167165
1123.0,96.87500775,62.29167165
1187.0,113.95834245,62.29167165
1176.0,114.37500915,62.29167165
1203.0,114.79167585,62.29167165
1145.0,117.70834275,62.29167165
1150.0,118.12500945,62.29167165
1157.0,118.54167615,62.29167165
1160.0,119.79167625,62.29167165
1163.0,126.04167675,62.29167165
1178.0,126.45834345,62.29167165
1163.0,126.87501015,62.29167165
1224.0,128.54167695,62.29167165
1187.0,129.37501035,62.29167165
1163.0,129.79167705,62.29167165
1191.0,130.62501045,62.29167165
1179.0,131.04167715,62.29167165
917.0,-151.04167875,61.87500495
1024.0,-135.62501085,61.87500495
981.0,-135.20834415,61.87500495
967.0,-134.37501075,61.87500495
945.0,-133.95834405,61.87500495
1055.0,-112.70834235,61.87500495
1115.0,84.79167345,61.87500495
1079.0,93.12500745,61.87500495
1001.0,93.54167415,61.87500495
1056.0,93.95834085,61.87500495
1076.0,94.37500755,61.87500495
1072.0,96.04167435,61.87500495
1065.0,96.87500775,61.87500495
1175.0,113.12500905,61.87500495
1164.0,113.54167575,61.87500495
1184.0,113.95834245,61.87500495
1139.0,117.70834275,61.87500495
1153.0,119.79167625,61.87500495
1161.0,120.62500965,61.87500495
1163.0,121.87500975,61.87500495
1179.0,125.62501005,61.87500495
1170.0,126.87501015,61.87500495
1181.0,129.37501035,61.87500495
768.0,-151.45834545,61.45833825
893.0,-151.04167875,61.45833825
957.0,-150.62501205,61.45833825
960.0,-150.20834535,61.45833825
1009.0,-134.37501075,61.45833825
922.0,-133.12501065,61.45833825
985.0,87.29167365,61.45833825
1061.0,95.62500765,61.45833825
1079.0,96.04167435,61.45833825
1134.0,113.54167575,61.45833825
1171.0,113.95834245,61.45833825
1117.0,121.04167635,61.45833825
1157.0,126.04167675,61.45833825
1125.0,126.45834345,61.45833825
1124.0,130.20834375,61.45833825
893.0,-151.87501215,61.04167155
931.0,-151.45834545,61.04167155
-9999.0,-151.04167875,61.04167155
1022.0,-136.45834425,61.04167155
921.0,-135.62501085,61.04167155
946.0,-134.79167745,61.04167155
1004.0,-134.37501075,61.04167155
1118.0,83.95834005,61.04167155
1131.0,84.37500675,61.04167155
1002.0,84.79167345,61.04167155
1118.0,86.87500695,61.04167155
1100.0,91.45834065,61.04167155
1077.0,91.87500735,61.04167155
1025.0,93.54167415,61.04167155
1044.0,93.95834085,61.04167155
1076.0,94.37500755,61.04167155
1164.0,113.54167575,61.04167155
1156.0,113.95834245,61.04167155
1168.0,116.45834265,61.04167155
1173.0,116.87500935,61.04167155
1183.0,117.29167605,61.04167155
1145.0,118.12500945,61.04167155
1155.0,118.54167615,61.04167155
1199.0,118.95834285,61.04167155
1187.0,119.37500955,61.04167155
1211.0,119.79167625,61.04167155
1181.0,120.20834295,61.04167155
1159.0,120.62500965,61.04167155
-9999.0,-166.87501335,60.62500485
-9999.0,-151.87501215,60.62500485
-9999.0,-151.45834545,60.62500485
990.0,-133.95834405,60.62500485
952.0,-133.12501065,60.62500485
874.0,-130.62501045,60.62500485
1133.0,83.12500665,60.62500485
1101.0,83.95834005,60.62500485
1098.0,84.37500675,60.62500485
1033.0,91.04167395,60.62500485
1070.0,91.87500735,60.62500485
1055.0,93.12500745,60.62500485
1083.0,93.95834085,60.62500485
1149.0,113.54167575,60.62500485
1167.0,113.95834245,60.62500485
1170.0,116.04167595,60.62500485
1176.0,118.54167615,60.62500485
1215.0,119.37500955,60.62500485
1186.0,120.20834295,60.62500485
963.0,170.62501365,60.62500485
1014.0,-132.70834395,60.20833815
1072.0,-118.54167615,60.20833815
1123.0,-118.12500945,60.20833815
1112.0,-117.70834275,60.20833815
1111.0,-116.87500935,60.20833815
1072.0,-116.04167595,60.20833815
1058.0,-114.37500915,60.20833815
1083.0,81.87500655,60.20833815
988.0,91.04167395,60.20833815
1046.0,91.45834065,60.20833815
1035.0,91.87500735,60.20833815
1103.0,95.62500765,60.20833815
1080.0,96.04167435,60.20833815
1193.0,111.87500895,60.20833815
1184.0,112.29167565,60.20833815
1172.0,121.04167635,60.20833815
1163.0,130.20834375,60.20833815
1152.0,130.62501045,60.20833815
1012.0,-127.70834355,59.79167145
1013.0,-125.20834335,59.79167145
1126.0,-118.12500945,59.79167145
1096.0,-117.70834275,59.79167145
1103.0,-115.20834255,59.79167145
1047.0,-111.87500895,59.79167145
1111.0,91.04167395,59.79167145
1025.0,91.45834065,59.79167145
1010.0,91.87500735,59.79167145
1027.0,92.29167405,59.79167145
1018.0,92.70834075,59.79167145
1035.0,93.12500745,59.79167145
1022.0,93.54167415,59.79167145
1042.0,93.95834085,59.79167145
1038.0,94.37500755,59.79167145
1039.0,94.79167425,59.79167145
1156.0,95.20834095,59.79167145
1100.0,95.62500765,59.79167145
1138.0,101.04167475,59.79167145
1117.0,111.45834225,59.79167145
1145.0,112.29167565,59.79167145
1145.0,112.70834235,59.79167145
1116.0,113.12500905,59.79167145
1083.0,115.20834255,59.79167145
1127.0,118.95834285,59.79167145
1161.0,130.20834375,59.79167145
916.0,-161.04167955,59.37500475
905.0,-131.45834385,59.37500475
1093.0,-119.79167625,59.37500475
1114.0,-117.70834275,59.37500475
1087.0,-116.45834265,59.37500475
1142.0,-115.62500925,59.37500475
1047.0,-115.20834255,59.37500475
1059.0,-114.79167585,59.37500475
1088.0,-114.37500915,59.37500475
1054.0,-113.95834245,59.37500475
1070.0,70.20833895,59.37500475
1074.0,70.62500565,59.37500475
1088.0,71.87500575,59.37500475
1092.0,78.12500625,59.37500475
1029.0,79.37500635,59.37500475
1007.0,81.87500655,59.37500475
1102.0,83.12500665,59.37500475
1085.0,85.62500685,59.37500475
1066.0,90.62500725,59.37500475
1110.0,91.04167395,59.37500475
1049.0,91.87500735,59.37500475
1012.0,92.29167405,59.37500475
1045.0,92.70834075,59.37500475
1020.0,93.12500745,59.37500475
1057.0,93.54167415,59.37500475
1071.0,93.95834085,59.37500475
1036.0,94.37500755,59.37500475
1053.0,94.79167425,59.37500475
1044.0,95.20834095,59.37500475
1045.0,95.62500765,59.37500475
1067.0,96.04167435,59.37500475
1148.0,99.79167465,59.37500475
1145.0,100.20834135,59.37500475
1128.0,101.87500815,59.37500475
1142.0,111.04167555,59.37500475
1021.0,113.12500905,59.37500475
1075.0,113.54167575,59.37500475
1138.0,117.29167605,59.37500475
1110.0,117.70834275,59.37500475
