ISRICSOILGRIDS_new_average_soilorganiccarboncontent_reduced,x,y
-9999.0,100.62500805,76.87500615
-9999.0,88.12500705,75.62500605
95.0,90.20834055,74.79167265
82.0,91.04167395,74.79167265
101.0,96.87500775,74.79167265
82.0,89.79167385,74.37500595
93.0,90.62500725,74.37500595
95.0,93.95834085,74.37500595
88.0,100.20834135,73.95833925
84.0,102.29167485,73.54167255
102.0,-114.37500915,71.87500575
-9999.0,-154.37501235,71.45833905
-9999.0,-153.95834565,71.45833905
89.0,-115.62500925,71.45833905
83.0,-116.45834265,70.62500565
-9999.0,-114.37500915,70.62500565
-9999.0,-113.95834245,70.62500565
-9999.0,-140.62501125,70.20833895
122.0,-114.37500915,70.20833895
181.0,-147.70834515,69.79167225
120.0,-115.20834255,69.79167225
112.0,-114.37500915,69.79167225
131.0,-120.20834295,69.37500555
105.0,-113.95834245,69.37500555
125.0,-127.70834355,68.95833885
110.0,-118.12500945,68.95833885
-9999.0,-117.29167605,68.95833885
-9999.0,-114.79167585,68.95833885
310.0,-126.45834345,68.54167215
266.0,-139.79167785,68.12500545
-9999.0,-163.95834645,67.29167205
212.0,-139.37501115,67.29167205
63.0,-140.20834455,66.45833865
105.0,86.04167355,62.70833835
237.0,86.45834025,62.70833835
309.0,-164.79167985,62.29167165
88.0,85.62500685,62.29167165
87.0,84.79167345,61.87500495
229.0,85.20834015,61.87500495
42.0,85.62500685,61.87500495
177.0,86.04167355,61.87500495
63.0,86.45834025,61.87500495
53.0,86.87500695,61.87500495
91.0,84.37500675,61.45833825
76.0,84.79167345,61.45833825
93.0,85.20834015,61.45833825
75.0,85.62500685,61.45833825
89.0,86.04167355,61.45833825
86.0,86.45834025,61.45833825
101.0,86.87500695,61.45833825
203.0,87.29167365,61.45833825
113.0,87.70834035,61.45833825
98.0,83.54167335,61.04167155
91.0,83.95834005,61.04167155
59.0,84.37500675,61.04167155
237.0,84.79167345,61.04167155
189.0,85.20834015,61.04167155
243.0,85.62500685,61.04167155
242.0,86.04167355,61.04167155
76.0,86.45834025,61.04167155
80.0,86.87500695,61.04167155
134.0,87.29167365,61.04167155
130.0,87.70834035,61.04167155
198.0,88.12500705,61.04167155
59.0,-135.20834415,60.62500485
92.0,82.70833995,60.62500485
81.0,83.12500665,60.62500485
113.0,83.54167335,60.62500485
55.0,83.95834005,60.62500485
109.0,84.37500675,60.62500485
211.0,84.79167345,60.62500485
266.0,85.20834015,60.62500485
116.0,85.62500685,60.62500485
92.0,86.04167355,60.62500485
127.0,86.45834025,60.62500485
101.0,86.87500695,60.62500485
87.0,87.29167365,60.62500485
86.0,87.70834035,60.62500485
94.0,88.12500705,60.62500485
