soiltype_mostprobable,x,y
255.0,100.62500805,76.87500615
255.0,88.12500705,75.62500605
6.0,90.20834055,74.79167265
6.0,91.04167395,74.79167265
6.0,96.87500775,74.79167265
6.0,89.79167385,74.37500595
6.0,90.62500725,74.37500595
6.0,93.95834085,74.37500595
14.0,100.20834135,73.95833925
14.0,102.29167485,73.54167255
6.0,-114.37500915,71.87500575
255.0,-154.37501235,71.45833905
255.0,-153.95834565,71.45833905
255.0,-115.62500925,71.45833905
8.0,-116.45834265,70.62500565
255.0,-114.37500915,70.62500565
255.0,-113.95834245,70.62500565
255.0,-140.62501125,70.20833895
6.0,-114.37500915,70.20833895
6.0,-147.70834515,69.79167225
6.0,-115.20834255,69.79167225
6.0,-114.37500915,69.79167225
6.0,-120.20834295,69.37500555
8.0,-113.95834245,69.37500555
8.0,-127.70834355,68.95833885
6.0,-118.12500945,68.95833885
255.0,-117.29167605,68.95833885
255.0,-114.79167585,68.95833885
8.0,-126.45834345,68.54167215
255.0,-139.79167785,68.12500545
255.0,-163.95834645,67.29167205
8.0,-139.37501115,67.29167205
6.0,-140.20834455,66.45833865
8.0,86.04167355,62.70833835
14.0,86.45834025,62.70833835
14.0,-164.79167985,62.29167165
8.0,85.62500685,62.29167165
14.0,84.79167345,61.87500495
14.0,85.20834015,61.87500495
23.0,85.62500685,61.87500495
14.0,86.04167355,61.87500495
14.0,86.45834025,61.87500495
8.0,86.87500695,61.87500495
14.0,84.37500675,61.45833825
14.0,84.79167345,61.45833825
14.0,85.20834015,61.45833825
8.0,85.62500685,61.45833825
23.0,86.04167355,61.45833825
23.0,86.45834025,61.45833825
8.0,86.87500695,61.45833825
14.0,87.29167365,61.45833825
8.0,87.70834035,61.45833825
23.0,83.54167335,61.04167155
8.0,83.95834005,61.04167155
23.0,84.37500675,61.04167155
14.0,84.79167345,61.04167155
14.0,85.20834015,61.04167155
14.0,85.62500685,61.04167155
14.0,86.04167355,61.04167155
6.0,86.45834025,61.04167155
8.0,86.87500695,61.04167155
8.0,87.29167365,61.04167155
8.0,87.70834035,61.04167155
14.0,88.12500705,61.04167155
255.0,-135.20834415,60.62500485
14.0,82.70833995,60.62500485
14.0,83.12500665,60.62500485
14.0,83.54167335,60.62500485
23.0,83.95834005,60.62500485
1.0,84.37500675,60.62500485
14.0,84.79167345,60.62500485
14.0,85.20834015,60.62500485
23.0,85.62500685,60.62500485
1.0,86.04167355,60.62500485
14.0,86.45834025,60.62500485
8.0,86.87500695,60.62500485
23.0,87.29167365,60.62500485
8.0,87.70834035,60.62500485
1.0,88.12500705,60.62500485
6.0,17.29166805,60.20833815
6.0,17.70833475,60.20833815
1.0,81.87500655,60.20833815
14.0,83.12500665,60.20833815
1.0,84.37500675,60.20833815
14.0,85.62500685,60.20833815
1.0,86.87500695,60.20833815
23.0,88.12500705,60.20833815
1.0,33.95833605,59.79167145
18.0,-156.45834585,59.37500475
6.0,-130.20834375,59.37500475
1.0,70.20833895,59.37500475
1.0,70.62500565,59.37500475
14.0,71.45833905,59.37500475
1.0,71.87500575,59.37500475
1.0,78.12500625,59.37500475
14.0,79.37500635,59.37500475
14.0,80.62500645,59.37500475
14.0,81.87500655,59.37500475
14.0,83.12500665,59.37500475
14.0,84.37500675,59.37500475
14.0,85.62500685,59.37500475
14.0,86.87500695,59.37500475
6.0,-156.45834585,58.95833805
255.0,-136.45834425,58.95833805
6.0,-132.70834395,58.95833805
18.0,62.29167165,58.95833805
14.0,76.87500615,58.95833805
1.0,78.12500625,58.95833805
1.0,79.37500635,58.95833805
14.0,80.62500645,58.95833805
255.0,81.87500655,58.95833805
14.0,83.12500665,58.95833805
14.0,84.37500675,58.95833805
14.0,85.62500685,58.95833805
14.0,86.87500695,58.95833805
6.0,-157.29167925,58.54167135
6.0,-128.12501025,58.54167135
255.0,18.12500145,58.54167135
1.0,49.79167065,58.54167135
1.0,50.62500405,58.54167135
6.0,59.79167145,58.54167135
1.0,69.79167225,58.54167135
14.0,71.04167235,58.54167135
14.0,72.29167245,58.54167135
14.0,73.54167255,58.54167135
14.0,74.79167265,58.54167135
14.0,76.04167275,58.54167135
1.0,76.45833945,58.54167135
1.0,76.87500615,58.54167135
1.0,77.29167285,58.54167135
1.0,77.70833955,58.54167135
1.0,78.12500625,58.54167135
1.0,78.54167295,58.54167135
1.0,78.95833965,58.54167135
14.0,79.37500635,58.54167135
14.0,79.79167305,58.54167135
14.0,80.20833975,58.54167135
1.0,80.62500645,58.54167135
1.0,81.04167315,58.54167135
14.0,81.45833985,58.54167135
14.0,81.87500655,58.54167135
14.0,82.29167325,58.54167135
1.0,82.70833995,58.54167135
1.0,83.12500665,58.54167135
1.0,83.54167335,58.54167135
14.0,83.95834005,58.54167135
14.0,84.37500675,58.54167135
1.0,84.79167345,58.54167135
1.0,85.20834015,58.54167135
1.0,85.62500685,58.54167135
1.0,86.04167355,58.54167135
1.0,86.45834025,58.54167135
1.0,86.87500695,58.54167135
