BIOCLIM_19,x,y
42.0,-148.54167855,64.79167185
43.0,-148.12501185,64.79167185
61.0,-146.87501175,64.79167185
47.0,-153.12501225,64.37500515
46.0,-153.12501225,63.95833845
33.0,121.45834305,63.95833845
30.0,125.20834335,63.95833845
26.0,127.29167685,63.95833845
46.0,-153.54167895,63.54167175
54.0,-137.29167765,63.54167175
60.0,-134.79167745,63.54167175
61.0,-134.37501075,63.54167175
67.0,-133.95834405,63.54167175
63.0,-133.54167735,63.54167175
37.0,119.37500955,63.54167175
37.0,119.79167625,63.54167175
42.0,-137.29167765,63.12500505
65.0,-133.95834405,63.12500505
58.0,-132.70834395,63.12500505
95.0,93.95834085,63.12500505
91.0,94.37500755,63.12500505
82.0,95.62500765,63.12500505
79.0,96.04167435,63.12500505
38.0,117.70834275,63.12500505
38.0,118.12500945,63.12500505
38.0,119.37500955,63.12500505
38.0,119.79167625,63.12500505
37.0,120.62500965,63.12500505
23.0,130.62501045,63.12500505
127.0,-150.20834535,62.70833835
63.0,-148.12501185,62.70833835
30.0,-138.54167775,62.70833835
101.0,86.04167355,62.70833835
101.0,86.45834025,62.70833835
89.0,95.62500765,62.70833835
85.0,96.04167435,62.70833835
40.0,118.12500945,62.70833835
41.0,118.54167615,62.70833835
41.0,119.37500955,62.70833835
39.0,121.87500975,62.70833835
27.0,129.37501035,62.70833835
24.0,130.62501045,62.70833835
119.0,-150.20834535,62.29167165
51.0,-134.79167745,62.29167165
64.0,-133.54167735,62.29167165
48.0,-115.20834255,62.29167165
-9999.0,17.70833475,62.29167165
98.0,85.62500685,62.29167165
102.0,93.12500745,62.29167165
99.0,93.54167415,62.29167165
95.0,93.95834085,62.29167165
94.0,94.37500755,62.29167165
87.0,96.04167435,62.29167165
78.0,96.87500775,62.29167165
48.0,113.95834245,62.29167165
48.0,114.37500915,62.29167165
48.0,114.79167585,62.29167165
40.0,117.70834275,62.29167165
40.0,118.12500945,62.29167165
40.0,118.54167615,62.29167165
41.0,119.79167625,62.29167165
34.0,126.04167675,62.29167165
33.0,126.45834345,62.29167165
33.0,126.87501015,62.29167165
31.0,128.54167695,62.29167165
30.0,129.37501035,62.29167165
29.0,129.79167705,62.29167165
27.0,130.62501045,62.29167165
27.0,131.04167715,62.29167165
124.0,-151.04167875,61.87500495
43.0,-135.62501085,61.87500495
49.0,-135.20834415,61.87500495
60.0,-134.37501075,61.87500495
56.0,-133.95834405,61.87500495
48.0,-112.70834235,61.87500495
94.0,84.79167345,61.87500495
99.0,93.12500745,61.87500495
100.0,93.54167415,61.87500495
95.0,93.95834085,61.87500495
94.0,94.37500755,61.87500495
84.0,96.04167435,61.87500495
80.0,96.87500775,61.87500495
52.0,113.12500905,61.87500495
52.0,113.54167575,61.87500495
51.0,113.95834245,61.87500495
40.0,117.70834275,61.87500495
42.0,119.79167625,61.87500495
43.0,120.62500965,61.87500495
43.0,121.87500975,61.87500495
34.0,125.62501005,61.87500495
34.0,126.87501015,61.87500495
31.0,129.37501035,61.87500495
129.0,-151.45834545,61.45833825
116.0,-151.04167875,61.45833825
99.0,-150.62501205,61.45833825
78.0,-150.20834535,61.45833825
54.0,-134.37501075,61.45833825
54.0,-133.12501065,61.45833825
101.0,87.29167365,61.45833825
89.0,95.62500765,61.45833825
82.0,96.04167435,61.45833825
55.0,113.54167575,61.45833825
54.0,113.95834245,61.45833825
45.0,121.04167635,61.45833825
35.0,126.04167675,61.45833825
34.0,126.45834345,61.45833825
32.0,130.20834375,61.45833825
158.0,-151.87501215,61.04167155
125.0,-151.45834545,61.04167155
-9999.0,-151.04167875,61.04167155
67.0,-136.45834425,61.04167155
52.0,-135.62501085,61.04167155
45.0,-134.79167745,61.04167155
49.0,-134.37501075,61.04167155
88.0,83.95834005,61.04167155
89.0,84.37500675,61.04167155
91.0,84.79167345,61.04167155
97.0,86.87500695,61.04167155
101.0,91.45834065,61.04167155
101.0,91.87500735,61.04167155
98.0,93.54167415,61.04167155
92.0,93.95834085,61.04167155
92.0,94.37500755,61.04167155
58.0,113.54167575,61.04167155
57.0,113.95834245,61.04167155
46.0,116.45834265,61.04167155
43.0,116.87500935,61.04167155
43.0,117.29167605,61.04167155
42.0,118.12500945,61.04167155
42.0,118.54167615,61.04167155
42.0,118.95834285,61.04167155
43.0,119.37500955,61.04167155
45.0,119.79167625,61.04167155
46.0,120.20834295,61.04167155
45.0,120.62500965,61.04167155
-9999.0,-166.87501335,60.62500485
-9999.0,-151.87501215,60.62500485
-9999.0,-151.45834545,60.62500485
54.0,-133.95834405,60.62500485
61.0,-133.12501065,60.62500485
120.0,-130.62501045,60.62500485
82.0,83.12500665,60.62500485
86.0,83.95834005,60.62500485
87.0,84.37500675,60.62500485
101.0,91.04167395,60.62500485
99.0,91.87500735,60.62500485
98.0,93.12500745,60.62500485
94.0,93.95834085,60.62500485
62.0,113.54167575,60.62500485
60.0,113.95834245,60.62500485
46.0,116.04167595,60.62500485
41.0,118.54167615,60.62500485
42.0,119.37500955,60.62500485
46.0,120.20834295,60.62500485
132.0,170.62501365,60.62500485
75.0,-132.70834395,60.20833815
63.0,-118.54167615,60.20833815
64.0,-118.12500945,60.20833815
67.0,-117.70834275,60.20833815
60.0,-116.87500935,60.20833815
59.0,-116.04167595,60.20833815
57.0,-114.37500915,60.20833815
79.0,81.87500655,60.20833815
