"x","y","value","Significance"
100.62500805,76.87500615,0.0461215935647488,"Low"
88.12500705,75.62500605,0.0498960502445698,"Low"
90.20834055,74.79167265,0.0495867766439915,"Low"
91.04167395,74.79167265,0.0483193285763264,"Low"
96.87500775,74.79167265,0.0452674888074398,"Low"
89.79167385,74.37500595,0.0409836061298847,"Low"
90.62500725,74.37500595,0.0371900834143162,"Low"
93.95834085,74.37500595,0.0437499992549419,"Low"
100.20834135,73.95833925,0.04294478520751,"Low"
102.29167485,73.54167255,0.0452674888074398,"Low"
-114.37500915,71.87500575,0.0437499992549419,"Low"
-154.37501235,71.45833905,0.0496894419193268,"Low"
-153.95834565,71.45833905,0.0481171533465385,"Low"
-115.62500925,71.45833905,0.0494845360517502,"Low"
-116.45834265,70.62500565,0.0390946492552757,"Low"
-114.37500915,70.62500565,0.029166666790843,"Low"
-113.95834245,70.62500565,0.0292275566607714,"Low"
-140.62501125,70.20833895,0.0484210513532162,"Low"
-114.37500915,70.20833895,0.0498960502445698,"Low"
-147.70834515,69.79167225,0.0481171533465385,"Low"
-115.20834255,69.79167225,0.0432989709079266,"Low"
-114.37500915,69.79167225,0.0479166656732559,"Low"
-120.20834295,69.37500555,0.0447154454886913,"Low"
-113.95834245,69.37500555,0.0497925318777561,"Low"
-127.70834355,68.95833885,0.0413223132491112,"Low"
-118.12500945,68.95833885,0.0435684658586979,"Low"
-117.29167605,68.95833885,0.0460251048207283,"Low"
-114.79167585,68.95833885,0.0494845360517502,"Low"
-126.45834345,68.54167215,0.0464135035872459,"Low"
-139.79167785,68.12500545,0.0497925318777561,"Low"
-163.95834645,67.29167205,0.0459290184080601,"Low"
-139.37501115,67.29167205,0.0485232062637806,"Low"
-140.20834455,66.45833865,0.0497925318777561,"Low"
86.04167355,62.70833835,0,"Low"
86.45834025,62.70833835,0.00773195875808597,"Low"
-164.79167985,62.29167165,0.0493827164173126,"Low"
85.62500685,62.29167165,0,"Low"
84.79167345,61.87500495,0,"Low"
85.20834015,61.87500495,0,"Low"
85.62500685,61.87500495,0,"Low"
86.04167355,61.87500495,0.00207039341330528,"Low"
86.45834025,61.87500495,0,"Low"
86.87500695,61.87500495,0,"Low"
84.37500675,61.45833825,0,"Low"
84.79167345,61.45833825,0,"Low"
85.20834015,61.45833825,0.00208768271841109,"Low"
85.62500685,61.45833825,0.00415800418704748,"Low"
86.04167355,61.45833825,0.00412371149286628,"Low"
86.45834025,61.45833825,0.00416666688397527,"Low"
86.87500695,61.45833825,0.00205761310644448,"Low"
87.29167365,61.45833825,0,"Low"
87.70834035,61.45833825,0.00806451588869095,"Low"
83.54167335,61.04167155,0,"Low"
83.95834005,61.04167155,0.00261780107393861,"Low"
84.37500675,61.04167155,0.00247524748556316,"Low"
84.79167345,61.04167155,0,"Low"
85.20834015,61.04167155,0.00411522621288896,"Low"
85.62500685,61.04167155,0.00627615069970489,"Low"
86.04167355,61.04167155,0,"Low"
86.45834025,61.04167155,0,"Low"
86.87500695,61.04167155,0,"Low"
87.29167365,61.04167155,0.00204918021336198,"Low"
87.70834035,61.04167155,0.00821355264633894,"Low"
88.12500705,61.04167155,0.00253807101398706,"Low"
-135.20834415,60.62500485,0.0421686731278896,"Low"
82.70833995,60.62500485,0,"Low"
83.12500665,60.62500485,0,"Low"
83.54167335,60.62500485,0,"Low"
83.95834005,60.62500485,0,"Low"
84.37500675,60.62500485,0,"Low"
84.79167345,60.62500485,0,"Low"
85.20834015,60.62500485,0,"Low"
85.62500685,60.62500485,0.00248756213113666,"Low"
86.04167355,60.62500485,0.00840336177498102,"Low"
86.45834025,60.62500485,0,"Low"
86.87500695,60.62500485,0.00251256278716028,"Low"
87.29167365,60.62500485,0.00621118023991585,"Low"
87.70834035,60.62500485,0.00826446246355772,"Low"
88.12500705,60.62500485,0.0165975112468004,"Low"
17.29166805,60.20833815,0.0439999997615814,"Low"
17.70833475,60.20833815,0.0480000004172325,"Low"
81.87500655,60.20833815,0.00250626564957201,"Low"
83.12500665,60.20833815,0.00243309000506997,"Low"
84.37500675,60.20833815,0.00254452927038074,"Low"
85.62500685,60.20833815,0.0187891442328691,"Low"
86.87500695,60.20833815,0.0124223604798317,"Low"
88.12500705,60.20833815,0.0103305783122778,"Low"
33.95833605,59.79167145,0.0100755663588643,"Low"
-156.45834585,59.37500475,0.0435684658586979,"Low"
-130.20834375,59.37500475,0.0464646480977535,"Low"
70.20833895,59.37500475,0.00260416674427688,"Low"
70.62500565,59.37500475,0,"Low"
71.45833905,59.37500475,0,"Low"
71.87500575,59.37500475,0,"Low"
78.12500625,59.37500475,0,"Low"
79.37500635,59.37500475,0.00257069407962263,"Low"
80.62500645,59.37500475,0.0147058824077249,"Low"
81.87500655,59.37500475,0,"Low"
83.12500665,59.37500475,0,"Low"
84.37500675,59.37500475,0,"Low"
85.62500685,59.37500475,0.0100755663588643,"Low"
86.87500695,59.37500475,0.0166320167481899,"Low"
-156.45834585,58.95833805,0.0439330525696278,"Low"
-136.45834425,58.95833805,0.0462776646018028,"Low"
-132.70834395,58.95833805,0.0454545468091965,"Low"
62.29167165,58.95833805,0.96601939201355,"High"
76.87500615,58.95833805,0,"Low"
78.12500625,58.95833805,0,"Low"
79.37500635,58.95833805,0,"Low"
80.62500645,58.95833805,0.0146443517878652,"Low"
81.87500655,58.95833805,0,"Low"
83.12500665,58.95833805,0,"Low"
84.37500675,58.95833805,0,"Low"
85.62500685,58.95833805,0.00243902439251542,"Low"
86.87500695,58.95833805,0,"Low"
-157.29167925,58.54167135,0.0419287197291851,"Low"
-128.12501025,58.54167135,0.0301204826682806,"Low"
18.12500145,58.54167135,0.958506226539612,"High"
49.79167065,58.54167135,0.00251889158971608,"Low"
50.62500405,58.54167135,0.0206185560673475,"Low"
59.79167145,58.54167135,0.954773843288422,"High"
69.79167225,58.54167135,0.00838574394583702,"Low"
71.04167235,58.54167135,0,"Low"
